datum_do,ge_dolzina,ge_sirina,merilno_mesto,nadm_visina,pm25,pm10,sifra
2023-02-20 03:00,15.881421,46.425815,Ptuj,230,22,23,E801
2023-02-20 10:00,15.881421,46.425815,Ptuj,230,35,45,E801
2023-02-20 13:00,15.881421,46.425815,Ptuj,230,20,28,E801
2023-02-23 19:00,15.881421,46.425815,Ptuj,230,81,95,E801
2023-02-22 15:00,15.881421,46.425815,Ptuj,230,20,28,E801
2023-02-24 09:00,15.881421,46.425815,Ptuj,230,48,60,E801
2023-02-24 08:00,15.881421,46.425815,Ptuj,230,39,45,E801
2023-02-16 08:00,15.881421,46.425815,Ptuj,230,54,56,E801
2023-02-17 06:00,15.881421,46.425815,Ptuj,230,38,45,E801
2023-02-18 02:00,15.881421,46.425815,Ptuj,230,37,39,E801
2023-02-25 01:00,15.881421,46.425815,Ptuj,230,21,34,E801
2023-02-21 02:00,15.881421,46.425815,Ptuj,230,,,E801
2023-02-20 14:00,15.881421,46.425815,Ptuj,230,19,24,E801
2023-02-21 01:00,15.881421,46.425815,Ptuj,230,,,E801
2023-02-22 20:00,15.881421,46.425815,Ptuj,230,54,72,E801
2023-02-20 17:00,15.881421,46.425815,Ptuj,230,,,E801
2023-02-21 18:00,15.881421,46.425815,Ptuj,230,33,43,E801
2023-02-19 03:00,15.881421,46.425815,Ptuj,230,32,36,E801
2023-02-16 11:00,15.881421,46.425815,Ptuj,230,65,78,E801
2023-02-18 16:00,15.881421,46.425815,Ptuj,230,40,44,E801
2023-02-21 18:00,15.881421,46.425815,Ptuj,230,33,43,E801
2023-02-23 04:00,15.881421,46.425815,Ptuj,230,42,45,E801
2023-02-18 15:00,15.881421,46.425815,Ptuj,230,47,50,E801
2023-02-23 00:00,15.881421,46.425815,Ptuj,230,42,45,E801
2023-02-19 17:00,15.881421,46.425815,Ptuj,230,16,24,E801
2023-02-16 17:00,15.881421,46.425815,Ptuj,230,60,77,E801
2023-02-17 12:00,15.881421,46.425815,Ptuj,230,31,39,E801
2023-02-16 10:00,15.881421,46.425815,Ptuj,230,54,59,E801
2023-02-20 21:00,15.881421,46.425815,Ptuj,230,,,E801
2023-02-22 05:00,15.881421,46.425815,Ptuj,230,39,43,E801
2023-02-18 12:00,15.881421,46.425815,Ptuj,230,47,52,E801
2023-02-24 13:00,15.881421,46.425815,Ptuj,230,42,62,E801
2023-02-22 09:00,15.881421,46.425815,Ptuj,230,34,49,E801
2023-02-24 20:00,15.881421,46.425815,Ptuj,230,33,42,E801
2023-02-25 04:00,15.881421,46.425815,Ptuj,230,15,26,E801
2023-02-18 13:00,15.881421,46.425815,Ptuj,230,53,59,E801
2023-02-16 09:00,15.881421,46.425815,Ptuj,230,47,49,E801
2023-02-25 08:00,15.881421,46.425815,Ptuj,230,13,24,E801
2023-02-24 18:00,15.881421,46.425815,Ptuj,230,34,44,E801
2023-02-19 06:00,15.881421,46.425815,Ptuj,230,23,24,E801
2023-02-19 10:00,15.881421,46.425815,Ptuj,230,20,22,E801
2023-02-23 03:00,15.881421,46.425815,Ptuj,230,41,45,E801
2023-02-24 23:00,15.881421,46.425815,Ptuj,230,22,30,E801
2023-02-24 10:00,15.881421,46.425815,Ptuj,230,40,53,E801
2023-02-22 06:00,15.881421,46.425815,Ptuj,230,44,49,E801
2023-02-25 07:00,15.881421,46.425815,Ptuj,230,16,28,E801
2023-02-18 14:00,15.881421,46.425815,Ptuj,230,52,56,E801
2023-02-17 08:00,15.881421,46.425815,Ptuj,230,53,62,E801
2023-02-20 22:00,15.881421,46.425815,Ptuj,230,,,E801
2023-02-17 08:00,15.881421,46.425815,Ptuj,230,53,62,E801
2023-02-24 02:00,15.881421,46.425815,Ptuj,230,29,33,E801
2023-02-17 19:00,15.881421,46.425815,Ptuj,230,29,34,E801
2023-02-23 07:00,15.881421,46.425815,Ptuj,230,47,56,E801
2023-02-25 04:00,15.881421,46.425815,Ptuj,230,15,26,E801
2023-02-22 23:00,15.881421,46.425815,Ptuj,230,45,49,E801
2023-02-23 05:00,15.881421,46.425815,Ptuj,230,49,54,E801
2023-02-16 01:00,15.881421,46.425815,Ptuj,230,56,58,E801
2023-02-19 07:00,15.881421,46.425815,Ptuj,230,24,25,E801
2023-02-22 21:00,15.881421,46.425815,Ptuj,230,52,65,E801
2023-02-20 18:00,15.881421,46.425815,Ptuj,230,,,E801
2023-02-21 09:00,15.881421,46.425815,Ptuj,230,25,30,E801
2023-02-25 06:00,15.881421,46.425815,Ptuj,230,15,27,E801
2023-02-19 05:00,15.881421,46.425815,Ptuj,230,23,23,E801
2023-02-19 12:00,15.881421,46.425815,Ptuj,230,15,18,E801
2023-02-17 21:00,15.881421,46.425815,Ptuj,230,38,43,E801
2023-02-23 09:00,15.881421,46.425815,Ptuj,230,53,61,E801
2023-02-19 08:00,15.881421,46.425815,Ptuj,230,23,25,E801
2023-02-18 07:00,15.881421,46.425815,Ptuj,230,35,38,E801
2023-02-16 22:00,15.881421,46.425815,Ptuj,230,78,84,E801
2023-02-18 01:00,15.881421,46.425815,Ptuj,230,39,41,E801
2023-02-25 06:00,15.881421,46.425815,Ptuj,230,15,27,E801
2023-02-23 19:00,15.881421,46.425815,Ptuj,230,81,95,E801
2023-02-21 22:00,15.881421,46.425815,Ptuj,230,51,59,E801
2023-02-21 23:00,15.881421,46.425815,Ptuj,230,47,54,E801
2023-02-17 11:00,15.881421,46.425815,Ptuj,230,48,61,E801
2023-02-24 13:00,15.881421,46.425815,Ptuj,230,42,62,E801
2023-02-18 09:00,15.881421,46.425815,Ptuj,230,34,37,E801
2023-02-18 06:00,15.881421,46.425815,Ptuj,230,36,40,E801
2023-02-17 00:00,15.881421,46.425815,Ptuj,230,90,94,E801
